Area,Main means of travel to work,Year,Value,Flags
"Wellington Region","Passenger in a car, truck, van or company bus","2006",12411,
"Wellington Region","Passenger in a car, truck, van or company bus","2013",10554,
"Wellington Region","Public bus","2001",15069,
"Wellington Region","Public bus","2006",17706,
"Wellington Region","Public bus","2013",18003,
"Wellington Region","Train","2001",11871,
"Wellington Region","Train","2006",13629,
"Wellington Region","Train","2013",14643,
"Wellington Region","Motor cycle or power cycle","2001",1656,
"Wellington Region","Motor cycle or power cycle","2006",1914,
"Wellington Region","Motor cycle or power cycle","2013",3033,
"Wellington Region","Bicycle","2001",4038,
"Wellington Region","Bicycle","2006",3861,
"Wellington Region","Bicycle","2013",5742,
"Wellington Region","Walked or jogged","2001",16941,
"Wellington Region","Walked or jogged","2006",20646,
"Wellington Region","Walked or jogged","2013",23001,
"Wellington Region","Other","2001",1857,
"Wellington Region","Other","2006",2073,
"Wellington Region","Other","2013",2523,
"Wellington Region","Total people stated","2001",203052,
"Wellington Region","Total people stated","2006",222558,
"Wellington Region","Total people stated","2013",227988,
"Wellington Region","Not elsewhere included","2001",5820,
"Wellington Region","Not elsewhere included","2006",11058,
"Wellington Region","Not elsewhere included","2013",7617,
"Tasman Region","Total people, main means of travel to work","2001",20550,
"Tasman Region","Total people, main means of travel to work","2006",23313,
"Tasman Region","Total people, main means of travel to work","2013",23511,
"Tasman Region","Worked at home","2001",3012,
"Tasman Region","Worked at home","2006",3108,
"Tasman Region","Worked at home","2013",3192,
"Tasman Region","Did not go to work today","2001",2283,
"Tasman Region","Did not go to work today","2006",2619,
"Tasman Region","Did not go to work today","2013",2709,
"Tasman Region","Drove a private car, truck or van","2001",9231,
"Tasman Region","Drove a private car, truck or van","2006",10284,
"Tasman Region","Drove a private car, truck or van","2013",10461,
"Tasman Region","Drove a company car, truck or van","2001",1788,
"Tasman Region","Drove a company car, truck or van","2006",2535,
"Tasman Region","Drove a company car, truck or van","2013",2766,
"Tasman Region","Passenger in a car, truck, van or company bus","2001",900,
"Tasman Region","Passenger in a car, truck, van or company bus","2006",891,
"Tasman Region","Passenger in a car, truck, van or company bus","2013",699,
"Tasman Region","Public bus","2001",72,
"Tasman Region","Public bus","2006",69,
"Tasman Region","Public bus","2013",81,
"Tasman Region","Train","2001",9,
"Tasman Region","Train","2006",12,
"Tasman Region","Train","2013",6,
"Tasman Region","Motor cycle or power cycle","2001",288,
"Tasman Region","Motor cycle or power cycle","2006",285,
"Tasman Region","Motor cycle or power cycle","2013",303,
"Tasman Region","Bicycle","2001",792,
"Tasman Region","Bicycle","2006",900,
"Tasman Region","Bicycle","2013",1014,
"Tasman Region","Walked or jogged","2001",1275,
"Tasman Region","Walked or jogged","2006",1335,
"Tasman Region","Walked or jogged","2013",1236,
"Tasman Region","Other","2001",120,
"Tasman Region","Other","2006",126,
"Tasman Region","Other","2013",168,
"Tasman Region","Total people stated","2001",19770,
"Tasman Region","Total people stated","2006",22173,
"Tasman Region","Total people stated","2013",22635,
"Tasman Region","Not elsewhere included","2001",783,
"Tasman Region","Not elsewhere included","2006",1140,
"Tasman Region","Not elsewhere included","2013",873,
"Nelson Region","Total people, main means of travel to work","2001",19575,
"Nelson Region","Total people, main means of travel to work","2006",22023,
"Nelson Region","Total people, main means of travel to work","2013",22626,
"Nelson Region","Worked at home","2001",1353,
"Nelson Region","Worked at home","2006",1446,
"Nelson Region","Worked at home","2013",1656,
"Nelson Region","Did not go to work today","2001",2529,
"Nelson Region","Did not go to work today","2006",2595,
"Nelson Region","Did not go to work today","2013",2742,
"Nelson Region","Drove a private car, truck or van","2001",9252,
"Nelson Region","Drove a private car, truck or van","2006",10284,
"Nelson Region","Drove a private car, truck or van","2013",10449,
"Nelson Region","Drove a company car, truck or van","2001",1707,
"Nelson Region","Drove a company car, truck or van","2006",2280,
"Nelson Region","Drove a company car, truck or van","2013",2388,
"Nelson Region","Passenger in a car, truck, van or company bus","2001",825,
"Nelson Region","Passenger in a car, truck, van or company bus","2006",948,
"Nelson Region","Passenger in a car, truck, van or company bus","2013",708,
"Nelson Region","Public bus","2001",99,
"Nelson Region","Public bus","2006",108,
"Nelson Region","Public bus","2013",186,
"Nelson Region","Train","2001",24,
"Nelson Region","Train","2006",12,
"Nelson Region","Train","2013",9,
"Nelson Region","Motor cycle or power cycle","2001",189,
"Nelson Region","Motor cycle or power cycle","2006",207,
"Nelson Region","Motor cycle or power cycle","2013",303,
"Nelson Region","Bicycle","2001",1140,
"Nelson Region","Bicycle","2006",1215,
"Nelson Region","Bicycle","2013",1524,
"Nelson Region","Walked or jogged","2001",1500,
"Nelson Region","Walked or jogged","2006",1749,
"Nelson Region","Walked or jogged","2013",1680,
"Nelson Region","Other","2001",165,
"Nelson Region","Other","2006",171,
"Nelson Region","Other","2013",222,
"Nelson Region","Total people stated","2001",18780,
"Nelson Region","Total people stated","2006",21015,
"Nelson Region","Total people stated","2013",21867,
"Nelson Region","Not elsewhere included","2001",795,
"Nelson Region","Not elsewhere included","2006",1008,
"Nelson Region","Not elsewhere included","2013",762,
"Marlborough Region","Total people, main means of travel to work","2001",19524,
"Marlborough Region","Total people, main means of travel to work","2006",22740,
"Marlborough Region","Total people, main means of travel to work","2013",21939,
"Marlborough Region","Worked at home","2001",2511,
"Marlborough Region","Worked at home","2006",2487,
"Marlborough Region","Worked at home","2013",2556,
"Marlborough Region","Did not go to work today","2001",2217,
"Marlborough Region","Did not go to work today","2006",2346,
"Marlborough Region","Did not go to work today","2013",2349,
"Marlborough Region","Drove a private car, truck or van","2001",8808,
"Marlborough Region","Drove a private car, truck or van","2006",10143,
"Marlborough Region","Drove a private car, truck or van","2013",10047,
"Marlborough Region","Drove a company car, truck or van","2001",1593,
"Marlborough Region","Drove a company car, truck or van","2006",2592,
"Marlborough Region","Drove a company car, truck or van","2013",2667,
"Marlborough Region","Passenger in a car, truck, van or company bus","2001",867,
"Marlborough Region","Passenger in a car, truck, van or company bus","2006",1125,
"Marlborough Region","Passenger in a car, truck, van or company bus","2013",909,
"Marlborough Region","Public bus","2001",39,
"Marlborough Region","Public bus","2006",21,
"Marlborough Region","Public bus","2013",24,
"Marlborough Region","Train","2001",12,
"Marlborough Region","Train","2006",6,
"Marlborough Region","Train","2013",6,
"Marlborough Region","Motor cycle or power cycle","2001",222,
"Marlborough Region","Motor cycle or power cycle","2006",180,
"Marlborough Region","Motor cycle or power cycle","2013",210,
"Marlborough Region","Bicycle","2001",885,
"Marlborough Region","Bicycle","2006",828,
"Marlborough Region","Bicycle","2013",807,
"Marlborough Region","Walked or jogged","2001",1464,
"Marlborough Region","Walked or jogged","2006",1581,
"Marlborough Region","Walked or jogged","2013",1362,
"Marlborough Region","Other","2001",216,
"Marlborough Region","Other","2006",177,
"Marlborough Region","Other","2013",186,
"Marlborough Region","Total people stated","2001",18834,
"Marlborough Region","Total people stated","2006",21492,
"Marlborough Region","Total people stated","2013",21129,
"Marlborough Region","Not elsewhere included","2001",690,
"Marlborough Region","Not elsewhere included","2006",1248,
"Marlborough Region","Not elsewhere included","2013",816,
"West Coast Region","Total people, main means of travel to work","2001",13947,
"West Coast Region","Total people, main means of travel to work","2006",16236,
"West Coast Region","Total people, main means of travel to work","2013",16122,
"West Coast Region","Worked at home","2001",1980,
"West Coast Region","Worked at home","2006",1821,
"West Coast Region","Worked at home","2013",1722,
"West Coast Region","Did not go to work today","2001",1632,
"West Coast Region","Did not go to work today","2006",1854,
"West Coast Region","Did not go to work today","2013",1857,
"West Coast Region","Drove a private car, truck or van","2001",5580,
"West Coast Region","Drove a private car, truck or van","2006",6564,
"West Coast Region","Drove a private car, truck or van","2013",6543,
"West Coast Region","Drove a company car, truck or van","2001",1302,
"West Coast Region","Drove a company car, truck or van","2006",1776,
"West Coast Region","Drove a company car, truck or van","2013",2148,
"West Coast Region","Passenger in a car, truck, van or company bus","2001",774,
"West Coast Region","Passenger in a car, truck, van or company bus","2006",1059,
"West Coast Region","Passenger in a car, truck, van or company bus","2013",939,
"West Coast Region","Public bus","2001",48,
"West Coast Region","Public bus","2006",30,
"West Coast Region","Public bus","2013",27,
"West Coast Region","Train","2001",15,
"West Coast Region","Train","2006",3,
"West Coast Region","Train","2013",0,
"West Coast Region","Motor cycle or power cycle","2001",180,
"West Coast Region","Motor cycle or power cycle","2006",225,
"West Coast Region","Motor cycle or power cycle","2013",309,
"West Coast Region","Bicycle","2001",537,
"West Coast Region","Bicycle","2006",387,
"West Coast Region","Bicycle","2013",459,
"West Coast Region","Walked or jogged","2001",1296,
"West Coast Region","Walked or jogged","2006",1242,
"West Coast Region","Walked or jogged","2013",1302,
"West Coast Region","Other","2001",60,
"West Coast Region","Other","2006",72,
"West Coast Region","Other","2013",117,
"West Coast Region","Total people stated","2001",13401,
"West Coast Region","Total people stated","2006",15039,
"West Coast Region","Total people stated","2013",15432,
"West Coast Region","Not elsewhere included","2001",543,
"West Coast Region","Not elsewhere included","2006",1200,
"West Coast Region","Not elsewhere included","2013",693,
"Canterbury Region","Total people, main means of travel to work","2001",234216,
"Canterbury Region","Total people, main means of travel to work","2006",269694,
"Canterbury Region","Total people, main means of travel to work","2013",277662,
"Canterbury Region","Worked at home","2001",22248,
"Canterbury Region","Worked at home","2006",22239,
"Canterbury Region","Worked at home","2013",23655,
"Canterbury Region","Did not go to work today","2001",28389,
"Canterbury Region","Did not go to work today","2006",30402,
"Canterbury Region","Did not go to work today","2013",30438,
"Canterbury Region","Drove a private car, truck or van","2001",116658,
"Canterbury Region","Drove a private car, truck or van","2006",132351,
"Canterbury Region","Drove a private car, truck or van","2013",137220,
"Canterbury Region","Drove a company car, truck or van","2001",20445,
"Canterbury Region","Drove a company car, truck or van","2006",27690,
"Canterbury Region","Drove a company car, truck or van","2013",34248,
"Canterbury Region","Passenger in a car, truck, van or company bus","2001",7749,
"Canterbury Region","Passenger in a car, truck, van or company bus","2006",9570,
"Canterbury Region","Passenger in a car, truck, van or company bus","2013",8811,
"Canterbury Region","Public bus","2001",5694,
"Canterbury Region","Public bus","2006",7560,
"Canterbury Region","Public bus","2013",5619,
"Canterbury Region","Train","2001",174,
"Canterbury Region","Train","2006",75,
"Canterbury Region","Train","2013",72,
"Canterbury Region","Motor cycle or power cycle","2001",2295,
"Canterbury Region","Motor cycle or power cycle","2006",2628,
"Canterbury Region","Motor cycle or power cycle","2013",3765,
"Canterbury Region","Bicycle","2001",10827,
"Canterbury Region","Bicycle","2006",11043,
"Canterbury Region","Bicycle","2013",11907,
"Canterbury Region","Walked or jogged","2001",11355,
"Canterbury Region","Walked or jogged","2006",12750,
"Canterbury Region","Walked or jogged","2013",11193,
"Canterbury Region","Other","2001",1359,
"Canterbury Region","Other","2006",1725,
"Canterbury Region","Other","2013",2040,
"Canterbury Region","Total people stated","2001",227190,
"Canterbury Region","Total people stated","2006",258033,
"Canterbury Region","Total people stated","2013",268971,
"Canterbury Region","Not elsewhere included","2001",7026,
"Canterbury Region","Not elsewhere included","2006",11661,
"Canterbury Region","Not elsewhere included","2013",8688,
"Otago Region","Total people, main means of travel to work","2001",86823,
"Otago Region","Total people, main means of travel to work","2006",100206,
"Otago Region","Total people, main means of travel to work","2013",100344,
"Otago Region","Worked at home","2001",8727,
"Otago Region","Worked at home","2006",8538,
"Otago Region","Worked at home","2013",9039,
"Otago Region","Did not go to work today","2001",10482,
"Otago Region","Did not go to work today","2006",11295,
"Otago Region","Did not go to work today","2013",11349,
"Otago Region","Drove a private car, truck or van","2001",40887,
"Otago Region","Drove a private car, truck or van","2006",46491,
"Otago Region","Drove a private car, truck or van","2013",46395,
"Otago Region","Drove a company car, truck or van","2001",7326,
"Otago Region","Drove a company car, truck or van","2006",10503,
"Otago Region","Drove a company car, truck or van","2013",11193,
"Otago Region","Passenger in a car, truck, van or company bus","2001",4023,
"Otago Region","Passenger in a car, truck, van or company bus","2006",5172,
"Otago Region","Passenger in a car, truck, van or company bus","2013",4290,
"Otago Region","Public bus","2001",1719,
"Otago Region","Public bus","2006",1689,
"Otago Region","Public bus","2013",1713,
"Otago Region","Train","2001",87,
"Otago Region","Train","2006",24,
"Otago Region","Train","2013",30,
"Otago Region","Motor cycle or power cycle","2001",741,
"Otago Region","Motor cycle or power cycle","2006",819,
"Otago Region","Motor cycle or power cycle","2013",1071,
"Otago Region","Bicycle","2001",1941,
"Otago Region","Bicycle","2006",1608,
"Otago Region","Bicycle","2013",2355,
"Otago Region","Walked or jogged","2001",7563,
"Otago Region","Walked or jogged","2006",8508,
"Otago Region","Walked or jogged","2013",8703,
"Otago Region","Other","2001",567,
"Otago Region","Other","2006",633,
"Otago Region","Other","2013",720,
"Otago Region","Total people stated","2001",84063,
"Otago Region","Total people stated","2006",95283,
"Otago Region","Total people stated","2013",96855,
"Otago Region","Not elsewhere included","2001",2763,
"Otago Region","Not elsewhere included","2006",4920,
"Otago Region","Not elsewhere included","2013",3489,
"Southland Region","Total people, main means of travel to work","2001",45264,
"Southland Region","Total people, main means of travel to work","2006",48213,
"Southland Region","Total people, main means of travel to work","2013",48084,
"Southland Region","Worked at home","2001",6960,
"Southland Region","Worked at home","2006",5931,
"Southland Region","Worked at home","2013",5643,
"Southland Region","Did not go to work today","2001",4914,
"Southland Region","Did not go to work today","2006",4971,
"Southland Region","Did not go to work today","2013",5040,
"Southland Region","Drove a private car, truck or van","2001",20253,
"Southland Region","Drove a private car, truck or van","2006",22446,
"Southland Region","Drove a private car, truck or van","2013",22314,
"Southland Region","Drove a company car, truck or van","2001",4011,
"Southland Region","Drove a company car, truck or van","2006",5166,
"Southland Region","Drove a company car, truck or van","2013",5973,
"Southland Region","Passenger in a car, truck, van or company bus","2001",2511,
"Southland Region","Passenger in a car, truck, van or company bus","2006",2676,
"Southland Region","Passenger in a car, truck, van or company bus","2013",2157,
"Southland Region","Public bus","2001",321,
"Southland Region","Public bus","2006",234,
"Southland Region","Public bus","2013",207,
"Southland Region","Train","2001",30,
"Southland Region","Train","2006",3,
"Southland Region","Train","2013",12,
"Southland Region","Motor cycle or power cycle","2001",666,
"Southland Region","Motor cycle or power cycle","2006",786,
"Southland Region","Motor cycle or power cycle","2013",1185,
"Southland Region","Bicycle","2001",1032,
"Southland Region","Bicycle","2006",726,
"Southland Region","Bicycle","2013",810,
"Southland Region","Walked or jogged","2001",2751,
"Southland Region","Walked or jogged","2006",2496,
"Southland Region","Walked or jogged","2013",2337,
"Southland Region","Other","2001",279,
"Southland Region","Other","2006",243,
"Southland Region","Other","2013",375,
"Southland Region","Total people stated","2001",43731,
"Southland Region","Total people stated","2006",45675,
"Southland Region","Total people stated","2013",46053,
"Southland Region","Not elsewhere included","2001",1533,
"Southland Region","Not elsewhere included","2006",2535,
"Southland Region","Not elsewhere included","2013",2028,
"Total, Regional Council Areas","Total people, main means of travel to work","2001",1726890,
"Total, Regional Council Areas","Total people, main means of travel to work","2006",1985409,
"Total, Regional Council Areas","Total people, main means of travel to work","2013",2000661,
"Total, Regional Council Areas","Worked at home","2001",166671,
"Total, Regional Council Areas","Worked at home","2006",163929,
"Total, Regional Council Areas","Worked at home","2013",169629,
"Total, Regional Council Areas","Did not go to work today","2001",195504,
"Total, Regional Council Areas","Did not go to work today","2006",203826,
"Total, Regional Council Areas","Did not go to work today","2013",207087,
"Total, Regional Council Areas","Drove a private car, truck or van","2001",831882,
"Total, Regional Council Areas","Drove a private car, truck or van","2006",951351,
"Total, Regional Council Areas","Drove a private car, truck or van","2013",971616,
"Total, Regional Council Areas","Drove a company car, truck or van","2001",164631,
"Total, Regional Council Areas","Drove a company car, truck or van","2006",212190,
"Total, Regional Council Areas","Drove a company car, truck or van","2013",217374,
"Total, Regional Council Areas","Passenger in a car, truck, van or company bus","2001",76593,
"Total, Regional Council Areas","Passenger in a car, truck, van or company bus","2006",91059,
"Total, Regional Council Areas","Passenger in a car, truck, van or company bus","2013",76428,
"Total, Regional Council Areas","Public bus","2001",52167,
"Total, Regional Council Areas","Public bus","2006",59484,
"Total, Regional Council Areas","Public bus","2013",64383,
"Total, Regional Council Areas","Train","2001",15111,
"Total, Regional Council Areas","Train","2006",19704,
"Total, Regional Council Areas","Train","2013",24639,
"Total, Regional Council Areas","Motor cycle or power cycle","2001",17298,
"Total, Regional Council Areas","Motor cycle or power cycle","2006",19680,
"Total, Regional Council Areas","Motor cycle or power cycle","2013",26190,
"Total, Regional Council Areas","Bicycle","2001",40665,
"Total, Regional Council Areas","Bicycle","2006",38088,
"Total, Regional Council Areas","Bicycle","2013",44184,
"Total, Regional Council Areas","Walked or jogged","2001",92496,
"Total, Regional Council Areas","Walked or jogged","2006",105420,
"Total, Regional Council Areas","Walked or jogged","2013",106086,
"Total, Regional Council Areas","Other","2001",12624,
"Total, Regional Council Areas","Other","2006",14532,
"Total, Regional Council Areas","Other","2013",18330,
"Total, Regional Council Areas","Total people stated","2001",1665639,
"Total, Regional Council Areas","Total people stated","2006",1879260,
"Total, Regional Council Areas","Total people stated","2013",1925943,
"Total, Regional Council Areas","Not elsewhere included","2001",61248,
"Total, Regional Council Areas","Not elsewhere included","2006",106149,
"Total, Regional Council Areas","Not elsewhere included","2013",74718,
"Area Outside Region","Total people, main means of travel to work","2001",381,
"Area Outside Region","Total people, main means of travel to work","2006",369,
"Area Outside Region","Total people, main means of travel to work","2013",348,
"Area Outside Region","Worked at home","2001",60,
"Area Outside Region","Worked at home","2006",48,
"Area Outside Region","Worked at home","2013",45,
"Area Outside Region","Did not go to work today","2001",72,
"Area Outside Region","Did not go to work today","2006",54,
"Area Outside Region","Did not go to work today","2013",57,
"Area Outside Region","Drove a private car, truck or van","2001",96,
"Area Outside Region","Drove a private car, truck or van","2006",129,
"Area Outside Region","Drove a private car, truck or van","2013",114,
"Area Outside Region","Drove a company car, truck or van","2001",36,
"Area Outside Region","Drove a company car, truck or van","2006",21,
"Area Outside Region","Drove a company car, truck or van","2013",33,
"Area Outside Region","Passenger in a car, truck, van or company bus","2001",15,
"Area Outside Region","Passenger in a car, truck, van or company bus","2006",12,
"Area Outside Region","Passenger in a car, truck, van or company bus","2013",6,
"Area Outside Region","Public bus","2001",0,
"Area Outside Region","Public bus","2006",0,
"Area Outside Region","Public bus","2013",0,
"Area Outside Region","Train","2001",0,
"Area Outside Region","Train","2006",0,
"Area Outside Region","Train","2013",0,
"Area Outside Region","Motor cycle or power cycle","2001",6,
"Area Outside Region","Motor cycle or power cycle","2006",12,
"Area Outside Region","Motor cycle or power cycle","2013",18,
"Area Outside Region","Bicycle","2001",3,
"Area Outside Region","Bicycle","2006",3,
"Area Outside Region","Bicycle","2013",3,
"Area Outside Region","Walked or jogged","2001",45,
"Area Outside Region","Walked or jogged","2006",42,
"Area Outside Region","Walked or jogged","2013",33,
"Area Outside Region","Other","2001",6,
"Area Outside Region","Other","2006",6,
"Area Outside Region","Other","2013",3,
"Area Outside Region","Total people stated","2001",342,
"Area Outside Region","Total people stated","2006",327,
"Area Outside Region","Total people stated","2013",309,
"Area Outside Region","Not elsewhere included","2001",39,
"Area Outside Region","Not elsewhere included","2006",42,
"Area Outside Region","Not elsewhere included","2013",36,
